Title,Location,Price,Size,Apartment Type
"Vračar, Hram Svetog Save, , 3.0, 61m2, 239000EUR","Vračar (Centar), Beograd, Srbija",239 000 €,61 m²,  Trosoban stan
"Vračar, Karađorđev park, Nebojšina, 3.0, 80m2, 319000EUR","Vračar (Centar), Beograd, Srbija",319 000 €,80 m²,  Trosoban stan
"Zemun, Gornji grad, Banijska, 2.0, 52m2, 132000EUR","Zemun (Gornji grad), Beograd, Srbija",132 000 €,52 m²,  Dvosoban stan
"Zemun, Novi grad, Železnička, 4.0, 70m2, 129500EUR","Zemun (Novi Grad), Beograd, Srbija",129 500 €,70 m²,  Četvorosoban stan
"Zemun, Gornji grad, Banatska, 4.0, 112m2, 285600EUR","Zemun (Gornji grad), Beograd, Srbija",285 600 €,112 m²,  Četvorosoban stan
"Zvezdara, Veliki Mokri Lug, Jorija Tadica, 2.0, 42m2, 74500EUR","Zvezdara, Beograd, Srbija",74 500 €,42 m²,  Dvosoban stan
"Novi Beograd, Blok 62, Jurija Gagarina, 2.5, 63m2, 175000EUR","Novi Beograd Blok 62, Beograd, Srbija",175 000 €,63 m²,  Trosoban stan
"Vračar, Bulevar kralja Aleksandra, Bulevar kralja Aleksandra, 4.0, 138m2, 668000EUR","Vračar (Centar), Beograd, Srbija",668 000 €,138 m²,  Četvorosoban stan
"Vračar, Bulevar kralja Aleksandra, Bulevar kralja Aleksandra, 4.0, 213m2, 1117000EUR","Vračar (Centar), Beograd, Srbija",1 117 000 €,213 m²,  Četvorosoban stan
"Savski venac, Beograd na vodi, BW Eden, 2.0, 55m2, 272000EUR","Beograd na vodi, Beograd, Srbija",272 000 €,55 m²,  Dvosoban stan
"Zemun, Centar, , 3.0, 127m2, 444500EUR","Zemun (Centar), Beograd, Srbija",444 500 €,127 m²,  Trosoban stan
"Palilula, Višnjička Banja, Slanački put, 3.0, 84m2, 210000EUR","Višnjička banja, Beograd, Srbija",210 000 €,84 m²,  Trosoban stan
"Zvezdara, Slavujev venac, Braće Ribnikar, 3.0, 62m2, 204171EUR","Zvezdara, Beograd, Srbija",204 171 €,62 m²,  Trosoban stan
"Zemun, Gornji grad, Banatska, 1.5, 34m2, 118500EUR","Zemun (Gornji grad), Beograd, Srbija",118 500 €,34 m²,  Dvosoban stan
"Zemun, Zemun polje, Tomice Popovića  DVE GARSONJERE, 2.0, 41m2, 56000EUR","Zemun Polje, Beograd, Srbija",56 000 €,41 m²,  Dvosoban stan
"Voždovac, Lekino brdo, Garibaldijeva, 4.0, 114m2, 286000EUR","Voždovac, Beograd, Srbija",286 000 €,114 m²,  Četvorosoban stan
"Čukarica, Vodovodska, Branka Cvetkovića, 2.0, 58m2, 75000EUR","Žarkovo, Beograd, Srbija",75 000 €,58 m²,  Dvosoban stan
"Novi Beograd, Ledine, Kolumbova, 2.5, 58m2, 134340EUR","Ledine, Beograd, Srbija",134 340 €,58 m²,  Trosoban stan
"Voždovac, Vojvode Stepe, Milisava Đurovića, 2.0, 38m2, 163200EUR","Voždovac, Beograd, Srbija",163 200 €,38 m²,  Dvosoban stan
"Čukarica, Žarkovo, Jovana Dučića , 2.0, 50m2, 138243EUR","Žarkovo, Beograd, Srbija",138 243 €,50 m²,  Dvosoban stan
"Vračar, Južni bulevar, Generala Horvatovića, 4.0, 85m2, 330000EUR","Vračar (Centar), Beograd, Srbija",330 000 €,85 m²,  Četvorosoban stan
"Novi Beograd, Bežanijska kosa, Marka Čelebonovića, 4.0, 110m2, 249000EUR","Bežanijska kosa I, Beograd, Srbija",249 000 €,110 m²,  Četvorosoban stan
"Novi Beograd, Ledine, Kolumbova, 3.0, 52m2, 119761EUR","Ledine, Beograd, Srbija",119 761 €,52 m²,  Trosoban stan
"Zemun, Muhar, , 3.0, 60m2, 130000EUR","Zemun (Gardoš), Beograd, Srbija",130 000 €,60 m²,  Trosoban stan
"Savski venac, Mostarska petlja, Zvečanska, 2.0, 51m2, 150000EUR","Centar (uži), Beograd, Srbija",150 000 €,51 m²,  Dvosoban stan
"Rakovica, Miljakovac, Borska 55+20, 2.5, 55m2, 145000EUR","Rakovica, Beograd, Srbija",145 000 €,55 m²,  Trosoban stan
"Zvezdara, Cvetkova pijaca, Hajduk Stankova, 3.0, 48m2, 185000EUR","Zvezdara, Beograd, Srbija",185 000 €,48 m²,  Trosoban stan
"Zemun, Save Kovačevića, Dragana Rakića, 1.5, 43m2, 99000EUR","Zemun (Save Kovačevića), Beograd, Srbija",99 000 €,43 m²,  Dvosoban stan
"Čukarica, Banovo brdo, Trebevićka, 3.0, 91m2, 240200EUR","Banovo brdo, Beograd, Srbija",240 200 €,91 m²,  Trosoban stan
"Voždovac, Vojvode Vlahovića, Jovana Deretića, 3.0, 68m2, 129000EUR","Voždovac, Beograd, Srbija",129 000 €,68 m²,  Trosoban stan
"Zvezdara, Slavujev venac, Braće Ribnikar, 3.0, 54m2, 189971EUR","Zvezdara, Beograd, Srbija",189 971 €,54 m²,  Trosoban stan
"Rakovica, Vidikovačka padina, Kneževačka , 1.5, 45m2, 91000EUR","Vidikovačka padina, Beograd, Srbija",91 000 €,45 m²,  Dvosoban stan
"Vračar, Crveni krst, Kajmakčalanska, 4.0, 192m2, 729600EUR","Vračar (Centar), Beograd, Srbija",729 600 €,192 m²,  Četvorosoban stan
"Voždovac, Medaković, Medakoviceva , 2.0, 60m2, 95000EUR","Voždovac, Beograd, Srbija",95 000 €,60 m²,  Dvosoban stan
"Zvezdara, Denkova bašta, Kovačeva, 1.0, 24m2, 77000EUR","Zvezdara, Beograd, Srbija",77 000 €,24 m²,  Jednosoban stan
"Novi Beograd, Blok 45, Nehruova, 2.0, 70m2, 245000EUR","Novi Beograd Blok 45 (TC Enjub), Beograd, Srbija",245 000 €,70 m²,  Dvosoban stan
"Voždovac, Medaković - Radovana Simića Cige, 70m2, Radovana Simića Cige","Medaković I, Beograd, Srbija",185 000 €,70 m²,  Dvosoban stan
"60m2, T ,MIRIJEVO , stan","Mirijevo I, Beograd, Srbija",120 000 €,60 m²,  Trosoban stan
"Stan na luksuznoj lokaciji ja prelepim pogledom, BW Kula","Beograd na vodi, Beograd, Srbija",672 000 €,73.44 m²,  Trosoban stan
"Petosoban stan u Zemunu, Cara Dusana","Zemun (Gornji grad), Beograd, Srbija",233 000 €,96 m²,  Petosoban+ stan
"Novi Beograd, Blok 37 - Bulevar Arsenija Čarnojevića, 91m2, Bulevar Arsenija Čarnojevića","Novi Beograd Blok 37, Beograd, Srbija",290 000 €,91 m²,  Trosoban stan
"Garsonjera Novi Beograd, Otona Župančića","Novi Beograd Blok 5, Beograd, Srbija",104 700 €,21 m²,  Garsonjera
"Stan Čukarica, za preporuku","Banovo brdo, Beograd, Srbija",169 900 €,60 m²,  Trosoban stan
"BW QUARTET 3, 237M2, VIII, CG","Beograd na vodi, Beograd, Srbija",1 021 500 €,237 m²,  Petosoban+ stan
"42m2, T ,ZARKOVO , stan","Žarkovo, Beograd, Srbija",99 000 €,42 m²,  Dvosoban stan
PRODAJA GARAZNOG MESTA U SARAJEVSKOJ ULICI,"Savski venac, Beograd, Srbija",32 000 €,14 m²,  Garsonjera
"Zemun, Gornji grad - Sarajevska, 45m2, Sarajevska","Zemun (Gornji grad), Beograd, Srbija",130 000 €,45 m²,  Dvosoban stan
"BW QUARTET 3, 210M2, VIII, CG","Beograd na vodi, Beograd, Srbija",905 800 €,210 m²,  Petosoban+ stan
"Stari Grad ,Reljina","Zeleni venac, Beograd, Srbija",Cena na upit,118 m²,  Dvosoban stan
Železnik,"Železnik, Beograd, Srbija",117 000 €,57 m²,  Dvosoban stan
NOVOGRADNJA DOBROPOLJSKA,"Autokomanda, Beograd, Srbija",147 000 €,42 m²,  Dvosoban stan
Lux opremljena novogradnja sa dve spavaće sobe,"Voždovac, Beograd, Srbija",180 000 €,50 m²,  Trosoban stan
"Wellport, nov, luksuzan, 4.0 sa baštom ID#9885","Novi Beograd Blok 65, Beograd, Srbija",449 900 €,132 m²,  Četvorosoban stan
"Gundulićev venac, Knez Miletina, 82m2, 3.0 ID#2792","Gundulićev venac, Beograd, Srbija",289 000 €,82 m²,  Trosoban stan
Čukarička padina - fasadna cigla ID#4701,"Čukarička padina, Beograd, Srbija",145 000 €,66 m²,  Dvosoban stan
Filmski grad - Stankom gradnja ID#1398,"Filmski grad, Beograd, Srbija",126 000 €,42 m²,  Jednosoban stan
"Batajnica, svetao i komforan duplex u izgradnji ID#10155","Batajnica, Beograd, Srbija",147 000 €,128 m²,  Četvorosoban stan
"Pravni fakultet, Metropol, Prote Mateje","Vračar (Centar), Beograd, Srbija",169 900 €,31 m²,  Jednosoban stan
Voždovac - Saobraćajni fakultet - 3.0 ID#24032,"Voždovac, Beograd, Srbija",185 000 €,60 m²,  Trosoban stan
Voždovac - Lekino brdo - 4.0 (127m2) ID#23864,"Lekino brdo, Beograd, Srbija",390 000 €,78 m²,  Četvorosoban stan
Lux penthaus 169m2 ID#10130,"Trošarina, Beograd, Srbija",557 000 €,169 m²,  Četvorosoban stan
"Palilula, Cvijićeva, 115m2 ID#50731","Cvijićeva, Beograd, Srbija",230 000 €,115 m²,  Četvorosoban stan
"Bela fasadna cigla, dvoiposoban, odmah useljiv ID#7169","Novi Beograd Blok 11c (Stari Merkator), Beograd, Srbija",227 000 €,76.5 m²,  Trosoban stan
"Gornji grad, 52m2, 2.5, parking ID#4834","Zemun (Gornji grad), Beograd, Srbija",129 900 €,52 m²,  Trosoban stan
"Vojvode Stepe, blizu fakulteta, odlična investicija","Voždovac, Beograd, Srbija",76 000 €,21 m²,  Garsonjera
"Cerak vinogradi, 60m2, 2.0, II/3, cg, tv ID#1848","Cerak vinogradi, Beograd, Srbija",145 000 €,60 m²,  Dvosoban stan
"Jovana Miodragovića, Retenzija, Zemun ID#5924","Retenzija, Beograd, Srbija",214 000 €,76 m²,  Trosoban stan
"Lux novogradnja, penthouse, Autokomanda ID#7091","Autokomanda, Beograd, Srbija",491 175 €,151.5 m²,  Trosoban stan
Odličan dupleks - novogradnja ID#2809,"Banovo brdo, Beograd, Srbija",277 200 €,99 m²,  Trosoban stan
Uknjižen 2.5 stan - korigovana cena ID#3710,"Mirijevo I, Beograd, Srbija",140 000 €,59 m²,  Trosoban stan
"Stari grad, Centar, Stevana Sremca, 4.0, 109m2 ID#14166","Stari Grad, Beograd, Srbija",370 000 €,109 m²,  Četvorosoban stan
Resnik - Milana Bartoša ID#1919,"Resnik, Beograd, Srbija",55 000 €,37 m²,  Jednosoban stan
"Skadarlija, Skadarska, 96m2, 4.0 ID#2661","Skadarlija, Beograd, Srbija",380 000 €,96 m²,  Četvorosoban stan
"Fontana, Pariske komune, 58m2, 2.0 ID#2857","Novi Beograd Blok 1 (Fontana), Beograd, Srbija",189 500 €,58 m²,  Dvosoban stan
"Crveni krst, salonac","Crveni krst, Beograd, Srbija",195 000 €,72 m²,  Trosoban stan
"Crveni krst, lux + garaža, 80m2 ID#10152","Crveni krst, Beograd, Srbija",390 000 €,80 m²,  Trosoban stan
Vračar - lux - Čuburski park ID#4906,"Kalenić pijaca, Beograd, Srbija",250 000 €,64 m²,  Trosoban stan
Višnjička Banja Sunnyville,"Višnjička banja, Beograd, Srbija",124 000 €,46 m²,  Dvosoban stan
Ekskluzivno u ponudi ID#1169,"Vračar (Centar), Beograd, Srbija",220 000 €,46 m²,  Jednosoban stan
"Prodaje se lep, uknjižen stan u Sarajevskoj","Sarajevska, Beograd, Srbija",136 500 €,35 m²,  Jednosoban stan
"Nebojše Đukelića, Filmski grad, Čukarica ID#7151","Filmski grad, Beograd, Srbija",54 500 €,32 m²,  Dvosoban stan
"Sremčica, Bobovačka ID#2472","Sremčica, Beograd, Srbija",103 850 €,67 m²,  Trosoban stan
"Trosoban porodičan stan, uknjižena zgrada ID#7163","Sremčica, Beograd, Srbija",85 000 €,71 m²,  Trosoban stan
Izuzetna investiciona prilika - dupleks u kući ID#7164,"Bele vode, Beograd, Srbija",185 000 €,163 m²,  Petosoban+ stan
"Farmaceutski fakultet, mereno 160m2 ID#6490","Kumodraž I, Beograd, Srbija",174 000 €,104 m²,  Četvorosoban stan
"1.0 stan na Zvezdari , Kovačeva ID#3158","Učiteljsko naselje, Beograd, Srbija",77 000 €,24 m²,  Jednosoban stan
"Prodaje se nov, neuseljivan stan u Mirjevu 4","Mirijevo IV, Beograd, Srbija",115 000 €,59 m²,  Trosoban stan
"Novi Beograd, Belville, Đorđa Stanojevića, 97m2 ID#14196","Novi Beograd Blok 67 (Belvil), Beograd, Srbija",379 000 €,97 m²,  Četvorosoban stan
"Zemun polje, nov, uknjižen,odmah useljiv ID#126136","Zemun Polje, Beograd, Srbija",179 200 €,112 m²,  Četvorosoban stan
Prodaje se 1.0 stan kod Palilulske pijace,"Palilulska pijaca, Beograd, Srbija",108 000 €,27 m²,  Jednosoban stan
"Prodajemo luksuzan 1.0 stan, Bilećka ulica, 40m2","Voždovac, Beograd, Srbija",160 000 €,40 m²,  Jednosoban stan
"Kosmaj (Sopot), Rogača, 60m2, nov kompleks zgrada","Sopot, Beograd, Srbija",129 000 €,60 m²,  Trosoban stan
"Vojvode Vlahovića, dvosoban stan ID 14775-1","Vojvode Vlahovića, Beograd, Srbija",127 200 €,50.88 m²,  Dvosoban stan
"Novi Beograd, Blok 62, Dušana Vukasovića , 2.5, 66m2, 185000 EUR","Novi Beograd Blok 62, Beograd, Srbija",185 000 €,66 m²,  Trosoban stan
"Odličan 3.0 stan, Beograd na vodi, Arcadia, 90m2","Beograd na vodi, Beograd, Srbija",427 500 €,90 m²,  Trosoban stan
"#33640, Prodaja, Stan, BELVILLE, 399000 EUR","Novi Beograd, Beograd, Srbija",399 000 €,106 m²,  Trosoban stan
"#30847, Prodaja, Stan, ĐERAM PIJACA, 365000 EUR","Bulevar Kr. Aleksandra, Beograd, Srbija",365 000 €,163 m²,  Trosoban stan
"Belville, Bulevar Crvene Armije, 96m2, 3.5 ID#2849","Novi Beograd Blok 67 (Belvil), Beograd, Srbija",385 000 €,96 m²,  Četvorosoban stan
"4.0 stan - KCS, Kneza Miloša ID#3157","Klinički centar, Beograd, Srbija",385 000 €,110 m²,  Četvorosoban stan
"Gundulićev venac, renoviran, odmah useljiv","Gundulićev venac, Beograd, Srbija",289 000 €,82 m²,  Trosoban stan
SARAJEVSKA SALONAC,"Savski venac, Beograd, Srbija",309 000 €,82 m²,  Trosoban stan
"Fenomenalan duplex, dva stana u jednom ID#4402","Banovo brdo, Beograd, Srbija",250 000 €,123 m²,  Petosoban+ stan
"Palilula, Višnjička banja, Višnjički venac, 40m2 ID#9663","Višnjička banja, Beograd, Srbija",80 000 €,40 m²,  Dvosoban stan
Trosoban stan u Cerovoj ulici ID#6116,"Cerak vinogradi, Beograd, Srbija",170 000 €,75 m²,  Trosoban stan
"Penthouse  na Lionu, Đevđelijska ID#2087","Lion, Beograd, Srbija",365 000 €,157 m²,  Četvorosoban stan
Lep otvoren pogled. 2 garažna mesta. Odlična cena. ID#13926,"Novi Beograd Blok 67 (Belvil), Beograd, Srbija",399 000 €,106 m²,  Trosoban stan
"Prodajemo odličan 4.0 stan, 83m2, Blok 38, za renoviranje","Novi Beograd Blok 38 (OŠ Ratko Mitrović), Beograd, Srbija",285 000 €,83 m²,  Četvorosoban stan
"Karaburma, S.Aljendea, nov, 1.0, renoviran ID#9800","Karaburma, Beograd, Srbija",114 000 €,43 m²,  Jednosoban stan
Useljiv 3.5 stan -  Sunčana padina ID#3624,"Sunčana padina, Beograd, Srbija",226 000 €,94 m²,  Četvorosoban stan
"Novo u ponudi-Vračar,1.5,30m2,uknjižen ID#3176","Južni bulevar, Beograd, Srbija",106 000 €,30 m²,  Dvosoban stan
"Duplex, Đeram ID#125945","Đeram pijaca, Beograd, Srbija",365 000 €,157 m²,  Četvorosoban stan
"Blok 44 - Gandijeva, 3.0, 84m2, duplex, uknjižen ID#3131","Novi Beograd Blok 44 (Piramida), Beograd, Srbija",152 000 €,84 m²,  Trosoban stan
"4.0 stan na Bežanijskoj kosi, 84m2+26m2,  Marka Čelebonovića ID#3155","Bežanijska kosa II, Beograd, Srbija",249 000 €,84 m²,  Četvorosoban stan
"Blok 61, Jurija Gagarina, trosoban ID#1475","Novi Beograd Blok 61, Beograd, Srbija",175 000 €,73 m²,  Trosoban stan
lux renoviran sa divnim pogledom ID#5398,"Novi Beograd Blok 11c (Stari Merkator), Beograd, Srbija",160 000 €,52 m²,  Dvosoban stan
Lekino brdo,"Lekino brdo, Beograd, Srbija",165 000 €,70 m²,  Trosoban stan
"Učiteljsko naselje, Čardaklijina, sa parking mestom","Učiteljsko naselje, Beograd, Srbija",178 000 €,78 m²,  Trosoban stan
Odličan penthaus od 160m2 na Lionu ID#1678,"Lion, Beograd, Srbija",365 000 €,160 m²,  Četvorosoban stan
"Krnjača, atraktivna lokacija","Krnjača, Beograd, Srbija",90 000 €,50 m²,  Dvosoban stan
Đevđelijska. Adaptibilan u 5.5-soban Parking mesto ID#6544,"Đeram pijaca, Beograd, Srbija",365 000 €,157 m²,  Četvorosoban stan
"Kod Njegoševe, 3s, zast.lođa, III spr, lift ID#1095","Kalenić pijaca, Beograd, Srbija",296 889 €,75 m²,  Trosoban stan
Stan i krov kompletno adaptirani 2018-e godine   . ID#6746,"Kumodraž I, Beograd, Srbija",99 900 €,69 m²,  Trosoban stan
"Unikatan, lux, salonac sa parkingom","Vračar (Centar), Beograd, Srbija",630 000 €,100 m²,  Četvorosoban stan
"Voždovac, Kumodraž, Jovana Todorovića, uknjižen ID#15853","Kumodraž I, Beograd, Srbija",97 000 €,51 m²,  Trosoban stan
Boleč novogradnja,"Grocka (centar), Beograd, Srbija",80 800 €,56 m²,  Trosoban stan
"Novi Grad, hitno odlazak u inostranstvo","Zemun (Novi Grad), Beograd, Srbija",129 500 €,70 m²,  Trosoban stan
Bellvile Ciklama,"Novi Beograd Blok 67 (Belvil), Beograd, Srbija",399 000 €,106 m²,  Trosoban stan
"Slanci, uknjižen","Beograd, Srbija",82 000 €,56 m²,  Trosoban stan
"Dedinje, lep duplex","Dedinje (RTV Pink), Beograd, Srbija",360 000 €,107 m²,  Četvorosoban stan
Cingrijina 67m2,"Zvezdara, Beograd, Srbija",175 000 €,67 m²,  Trosoban stan
Ekskluzivan pentahaus kod parka Manjež,"Centar (uži), Beograd, Srbija",800 000 €,133 m²,  Četvorosoban stan
"Retko u ponudi u Bloku 45, 3.0, 88m2+2m2(L) ID#3196","Novi Beograd Blok 45 (TC Enjub), Beograd, Srbija",275 000 €,88 m²,  Trosoban stan
"Salonac, Terazije, kod Beograđanke, Kralja Milana ID#7166","Terazije ( centar ), Beograd, Srbija",350 000 €,86 m²,  Trosoban stan
Veliki funkcionalan stan u Dalmatinskoj ID#1966,"Centar (uži), Beograd, Srbija",269 000 €,92 m²,  Četvorosoban stan
"Blok 38, 3.5, dvostran","Novi Beograd Blok 38 (OŠ Ratko Mitrović), Beograd, Srbija",210 000 €,86 m²,  Četvorosoban stan
"Prodaja, troiposoban dupleks ID#6690","Zemun (Nova Galenika), Beograd, Srbija",178 500 €,114 m²,  Četvorosoban stan
Blok 23,"Novi Beograd Blok 23, Beograd, Srbija",230 000 €,66 m²,  Trosoban stan
"Prvomajska, Hercegovačka","Zemun (Marije Bursać), Beograd, Srbija",115 000 €,77 m²,  Trosoban stan
"Zemun, Kalvarija","Zemun (Kalvarija), Beograd, Srbija",450 000 €,189 m²,  Petosoban+ stan
Železnik,"Železnik, Beograd, Srbija",121 600 €,76 m²,  Trosoban stan
Blok 30,"Beograd, Srbija",301 000 €,91 m²,  Trosoban stan
"Donji Dorćol, Visokog Stevana 95 m2 4,0 CG vpr/8 parking mesto","Banjica, Beograd, Srbija",290 000 €,95 m²,  Četvorosoban stan
"Zemun centar, Jovana Subotića","Zemun (Centar), Beograd, Srbija",221 000 €,86 m²,  Trosoban stan
Zemun - Branka Pešića,"Zemun (Gornji grad), Beograd, Srbija",126 000 €,43 m²,  Dvosoban stan
"Prodaja, renoviran stan blizu Arene ID#6959","Novi Beograd Blok 23, Beograd, Srbija",228 000 €,47 m²,  Dvosoban stan
"Stari Merkator, Luja Adamiča","Novi Beograd Blok 11c (Stari Merkator), Beograd, Srbija",177 900 €,75 m²,  Trosoban stan
Dimitrija Tucovića,"Zvezdara, Beograd, Srbija",179 000 €,74 m²,  Trosoban stan
Retko u ponudi,"Novi Beograd Blok 11 (Hotel Jugoslavija), Beograd, Srbija",175 000 €,44 m²,  Dvosoban stan
Zemun-Centar,"Zemun (Centar), Beograd, Srbija",399 000 €,117 m²,  Četvorosoban stan
Novi Beograd-Belvil-2.5-Uknjižen ID#2870,"Novi Beograd Blok 67 (Belvil), Beograd, Srbija",225 000 €,52 m²,  Trosoban stan
Novi Beograd-Fontana-31m2+16m2 terasa-Uknjižen ID#2890,"Novi Beograd Blok 3, Beograd, Srbija",117 000 €,31 m²,  Jednosoban stan
"Zemun, blizina Zemunskih kapija","Zemun (Cara Dušana), Beograd, Srbija",236 000 €,94 m²,  Četvorosoban stan
Miljakovac 1 - Borska,"Miljakovac I, Beograd, Srbija",162 000 €,79 m²,  Trosoban stan
"Batajnica, Žike Markovića","Batajnica, Beograd, Srbija",110 000 €,94 m²,  Četvorosoban stan
"Vračar, Cvetni trg, Svetozara Markovića","Cvetni trg, Beograd, Srbija",200 000 €,48 m²,  Dvosoban stan
"Sređen stan sa parkingom, Bogoslovija ID#5886","Bogoslovija, Beograd, Srbija",160 000 €,59 m²,  Trosoban stan
"Višnjička Banja, Sunnyville, dvosoban","Višnjička banja, Beograd, Srbija",135 000 €,46 m²,  Dvosoban stan
"Slavija, Nemanjina, renoviran","Slavija, Beograd, Srbija",449 000 €,122 m²,  Četvorosoban stan
Vračar- Karađorđev park,"Autokomanda, Beograd, Srbija",269 000 €,60 m²,  Dvosoban stan
Beograd na vodi - Verde- Penthouse,"Beograd na vodi, Beograd, Srbija",480 000 €,104 m²,  Četvorosoban stan
"Kalenić pijaca, lux, TOP lokacija","Kalenić pijaca, Beograd, Srbija",430 000 €,99 m²,  Trosoban stan
"Vračar, blizina Čuburskog parka, dvoiposoban","Čubura, Beograd, Srbija",235 000 €,53 m²,  Trosoban stan
"Petlovo brdo, Nićifora Ninkovića","Petlovo brdo, Beograd, Srbija",139 900 €,130 m²,  Četvorosoban stan
"Barajevo gaj, 20. oktobra","Barajevo, Beograd, Srbija",57 000 €,57 m²,  Dvosoban stan
"Cara Nikolaja II, uknjižen, parking","Čubura, Beograd, Srbija",69 000 €,34 m²,  Dvosoban stan
"Filmski grad, 3.0, odličan","Filmski grad, Beograd, Srbija",179 500 €,69 m²,  Trosoban stan
"Trosoban stan, centar Miljakovca ID#4531","Miljakovac I, Beograd, Srbija",172 000 €,79 m²,  Trosoban stan
"Višnjička Banja, Sunnyville, 46,35m2","Višnjička banja, Beograd, Srbija",136 000 €,46 m²,  Dvosoban stan
"Kralja Vladimira, odličan, mogućnost proširenja","Voždovac, Beograd, Srbija",203 000 €,86 m²,  Četvorosoban stan
"Botanička bašta, Duplex, Uknjižen stan","Botanička bašta, Beograd, Srbija",350 000 €,90 m²,  Trosoban stan
"Karaburma blizu okretnice, renoviran","Karaburma, Beograd, Srbija",145 000 €,60 m²,  Trosoban stan
Centar strogi - odlična investicija,"Trg Republike ( centar ), Beograd, Srbija",85 000 €,13 m²,  Jednosoban stan
"Blok 67, Belville, Bulevar Crvene Armije, 106m2, 3.0 ID#2648","Novi Beograd Blok 67 (Belvil), Beograd, Srbija",399 000 €,106 m²,  Trosoban stan
"Lion, renoviran","Lion, Beograd, Srbija",260 000 €,70 m²,  Trosoban stan
"Vračar, Kalenić, Mlatišumina","Kalenić pijaca, Beograd, Srbija",130 000 €,27 m²,  Jednosoban stan
"Banjica, Bulevar oslobođenja, duplex","Banjica, Beograd, Srbija",285 000 €,122 m²,  Četvorosoban stan
"Jove Ilića, novo, lux, 93m2, 3.0, cg ID#1838","Voždovac, Beograd, Srbija",295 000 €,93 m²,  Trosoban stan
"Centar, Atelje 212, Stevana Sremca","Centar (uži), Beograd, Srbija",120 000 €,31 m²,  Jednosoban stan
"Voždovac, uknjižen, useljiv","Voždovac, Beograd, Srbija",245 000 €,68 m²,  Trosoban stan
"Karaburma, uknjižen, useljiv stan","Karaburma, Beograd, Srbija",109 000 €,54 m²,  Trosoban stan
Vukov spomenik - odlična investicija,"Vukov spomenik, Beograd, Srbija",116 000 €,33 m²,  Jednosoban stan
"Lion, Radoja Domanovića, sa parking mestom","Lion, Beograd, Srbija",250 000 €,66 m²,  Trosoban stan
Zeleni venac - Brankova,"Zeleni venac, Beograd, Srbija",125 000 €,39 m²,  Dvosoban stan
Kosovska Skupština ID#38550,"Centar (uži), Beograd, Srbija",315 000 €,81 m²,  Trosoban stan
Stan prekoputa Voždovačke crkve,"Voždovac, Beograd, Srbija",79 000 €,21 m²,  Jednosoban stan
"Vračar, Loznička, lux, novogradnja","Vračar (Centar), Beograd, Srbija",240 000 €,53 m²,  Dvosoban stan
Marka Čelebonovića. Adaptibilan u 4.5-soban stan. ID#10756,"Bežanijska kosa II, Beograd, Srbija",249 000 €,104 m²,  Četvorosoban stan
"Beograđanka, Kralja Milana, stan-investicija","Vračar (Centar), Beograd, Srbija",247 000 €,50 m²,  Dvosoban stan
"Vračar, trosoban, luks, sa garažnim mestom","Kalenić pijaca, Beograd, Srbija",390 000 €,80 m²,  Trosoban stan
Odličan stan na Bežanijskoj kosi ID#129949,"Bežanijska kosa I, Beograd, Srbija",234 000 €,86 m²,  Četvorosoban stan
"Belville - Luksuzan 3.0-soban stan, namešten ID#4714","Novi Beograd Blok 67 (Belvil), Beograd, Srbija",399 000 €,106 m²,  Trosoban stan
Izuzetan 3.5 stan na Lekinom brdu ID#7100,"Lekino brdo, Beograd, Srbija",245 000 €,61 m²,  Četvorosoban stan
Prelep stan na savršenoj mikrolokaciji ID#127104,"Centar (uži), Beograd, Srbija",370 000 €,110 m²,  Četvorosoban stan
Kvalitetan 2.5 stan ID#130807,"Karaburma, Beograd, Srbija",165 000 €,70 m²,  Trosoban stan
"Odličan, dvostrano orijentisan","Voždovac, Beograd, Srbija",195 000 €,88 m²,  Četvorosoban stan
"Komforan, dvostrano orijetnisan","Tošin bunar, Beograd, Srbija",158 000 €,58 m²,  Dvosoban stan
"Renoviran, svetao - izuzetan pogled","Vračar (Hram), Beograd, Srbija",280 000 €,63 m²,  Dvosoban stan
"Sunčan, opremljen, sa parkingom","Višnjička banja, Beograd, Srbija",210 000 €,84 m²,  Trosoban stan
Renoviran,"Bogoslovija, Beograd, Srbija",199 900 €,93 m²,  Trosoban stan
"Funkcionalan, svetao","Bežanijska kosa II, Beograd, Srbija",183 000 €,68 m²,  Trosoban stan
"Renoviran, novogradnja, parking","Mirijevo I, Beograd, Srbija",130 000 €,68 m²,  Trosoban stan
"Cena sa dva garažna mesta, prilika!","Dedinje (RTV Pink), Beograd, Srbija",345 000 €,114 m²,  Četvorosoban stan
"Stan u novogradnji, Zemun","Zemun (Gornji grad), Beograd, Srbija",116 000 €,33 m²,  Dvosoban stan
"Sunčan, svetao","Karaburma, Beograd, Srbija",118 000 €,61 m²,  Dvosoban stan
"Mirijevi, Radeta Markovića","Mirijevo I, Beograd, Srbija",140 000 €,83 m²,  Trosoban stan
Odličan. Lux iz 2020,"Autokomanda, Beograd, Srbija",408 000 €,102 m²,  Četvorosoban stan
Izuzetan penthouse,"Autokomanda, Beograd, Srbija",219 000 €,75 m²,  Trosoban stan
"Parking mesto, salonski stan","Vračar (Centar), Beograd, Srbija",239 000 €,61 m²,  Trosoban stan
"Renoviran, sunčan","Medaković III, Beograd, Srbija",179 900 €,87 m²,  Trosoban stan
